game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
o0rOWXIr,oy9XH,1164,41,https://lichess.org/o0rOWXIr#42
a7ifS1fY,LeL5N,1189,23,https://lichess.org/a7ifS1fY#24
YT7fh9Xz,HR7JY,1267,59,https://lichess.org/YT7fh9Xz#60
1FuACsza,nSxo9,1332,33,https://lichess.org/1FuACsza#34
gFUllo65,ztBgA,1088,67,https://lichess.org/gFUllo65#68
r8EFLIu3,AX94N,1156,29,https://lichess.org/r8EFLIu3#30
HRIXa16O,C1KS2,1364,65,https://lichess.org/HRIXa16O#66
dnfnpft7,6nnC3,987,47,https://lichess.org/dnfnpft7#48
QiMpwEft,0oPTm,1086,45,https://lichess.org/QiMpwEft#46
4Nitxvma,E8VwJ,1046,31,https://lichess.org/4Nitxvma#32
iTbwV0iM,whblR,1284,17,https://lichess.org/iTbwV0iM#18
3ExEno0o,qVltV,1285,57,https://lichess.org/3ExEno0o#58
aq5RthA9,jt4M8,1308,47,https://lichess.org/aq5RthA9#48
luzqk0mp,8G0PC,1369,53,https://lichess.org/luzqk0mp#54
zq4NAbWx,8MkYq,1077,40,https://lichess.org/zq4NAbWx#41
ByrchEBf,ieMOI,1140,16,https://lichess.org/ByrchEBf#17
T2K3JrmA,3uy3f,1281,62,https://lichess.org/T2K3JrmA#63
TfKy7ueq,5giFM,1323,70,https://lichess.org/TfKy7ueq#71
tvjOcDfA,M0Kh8,1025,122,https://lichess.org/tvjOcDfA#123
r1SsgdCD,6VuJR,1085,60,https://lichess.org/r1SsgdCD#61
rNtUWCLA,ANx5W,1237,26,https://lichess.org/rNtUWCLA#27
RXWXmhvc,tsPd1,1303,44,https://lichess.org/RXWXmhvc#45
TAXKbgL5,Wh9FY,1299,74,https://lichess.org/TAXKbgL5#75
utbKD62x,o81s7,1336,112,https://lichess.org/utbKD62x#113
7fkIm03V,X1bHV,1377,72,https://lichess.org/7fkIm03V#73
Bnd1GPXJ,oFnLm,1305,86,https://lichess.org/Bnd1GPXJ#87
g28YHTZ6,LZQW0,1336,58,https://lichess.org/g28YHTZ6#59
mN0qpQkv,6qR58,1324,30,https://lichess.org/mN0qpQkv#31
OAyr79E4,nmEef,1418,40,https://lichess.org/OAyr79E4#41
iguTARJY,brHnp,1197,76,https://lichess.org/iguTARJY#77
